epoch,train_loss,eval_loss,eval_top1,eval_top5
152,3.5749683065189544,1.21058875,74.85,92.874
153,3.5763678378243147,1.2885971875,75.09,92.84
154,3.586788128796432,1.32946375,74.69,92.66
155,3.574518314606661,1.272698125,74.944,92.758
156,3.5578675485438676,1.3425665625,74.638,92.468
157,3.5763030584386404,1.34192125,75.158,92.87
158,3.564293930475279,1.256786875,75.086,92.996
159,3.554513880293623,1.3489125,75.154,92.91
160,3.549221086892769,1.267881875,75.428,92.856
161,3.547439856018475,1.2646265625,75.052,92.912
162,3.5494420336876558,1.37886375,74.884,92.804
163,3.5319559406414687,1.294079375,75.464,93.156
164,3.529453301077171,1.2538296875,75.476,93.11
165,3.5336328097861065,1.308433125,75.578,93.264
166,3.5357554990420046,1.283230625,75.374,93.15
167,3.5312440264806284,1.23364625,75.552,93.084
168,3.5211565662249864,1.241438125,75.876,93.212
169,3.5224583527738815,1.254401875,75.762,93.236
170,3.5047462947553485,1.25833125,75.976,93.32
171,3.5255161132172144,1.296628125,75.658,93.202
172,3.5102592754325896,1.356239375,75.694,93.174
173,3.5030548688795546,1.1769059375,75.688,93.314
174,3.4928319254081597,1.3201809375,75.584,93.212
175,3.489276678251515,1.202343125,76.056,93.328
176,3.4769927811660737,1.2188775,75.982,93.36
177,3.4795006277749865,1.353095625,75.678,92.932
178,3.4786219438202948,1.2465303125,76.104,93.516
179,3.4705390879671447,1.2407740625,76.134,93.366
180,3.463999248618226,1.14203125,76.452,93.58
181,3.4573618653390428,1.2534265625,76.106,93.36
182,3.458492725634937,1.218740625,76.518,93.484
183,3.4488254927521607,1.2084353125,76.504,93.548
184,3.4423734325108577,1.2270590625,76.496,93.534
185,3.4358108393389353,1.227995625,76.49,93.464
186,3.442713779797085,1.1865903125,76.83,93.63
187,3.436855521466997,1.20921375,76.838,93.774
188,3.4429633151903616,1.242690625,76.902,93.6
189,3.425219832612075,1.2464678125,76.798,93.746
190,3.415717477992856,1.22020875,76.878,93.768
191,3.4177076614065043,1.2967259375,76.772,93.78
192,3.3990964690844216,1.246001875,77.078,93.946
193,3.4001278568514817,1.2245725,77.004,93.868
194,3.4059821255773093,1.1911640625,77.236,93.886
195,3.4020412504244195,1.21866125,76.936,93.782
196,3.3871045954031147,1.333919375,76.872,93.618
197,3.3824253856992836,1.30664,76.848,93.65
198,3.3743386342466404,1.160148125,77.0,93.808
199,3.366044574361339,1.2116403125,77.218,93.922
200,3.3644153469567484,1.13685875,77.57,93.968
201,3.367323200122344,1.2515459375,77.382,94.062
202,3.354755996895446,1.18460125,77.712,94.134
203,3.345395253907195,1.232855,77.428,93.916
204,3.3485965869314285,1.1603878125,77.736,94.092
205,3.3529767799768133,1.2135521875,77.824,94.29
206,3.3359629699080395,1.1504159375,78.056,94.268
207,3.3293824194908903,1.1176809375,77.788,94.232
208,3.319518135391551,1.1223740625,77.978,94.356
209,3.317202373207521,1.1264615625,78.344,94.418
210,3.3113101838494567,1.1479290625,78.09,94.34
211,3.3040729740159596,1.15880125,77.83,94.344
212,3.3018938078344773,1.1511125,78.142,94.39
213,3.2936546463522314,1.2491425,78.03,94.32
214,3.2964146751627554,1.1531940625,78.566,94.53
215,3.3063556959303164,1.089638125,78.344,94.348
216,3.285955707160689,1.17655125,78.2,94.566
217,3.272271844289667,1.0951875,78.314,94.564
218,3.269078550459765,1.085030625,78.59,94.654
219,3.252385783895886,1.1294121875,78.476,94.612
220,3.2584244724419666,1.1097834375,78.652,94.678
221,3.2528130923100798,1.166845,78.856,94.622
222,3.244397662740817,1.1927315625,78.666,94.654
223,3.239406664451535,1.1340228125,78.584,94.62
224,3.2293390378915814,1.1673390625,78.848,94.69
225,3.233100492986653,1.141794375,78.832,94.692
226,3.223952739668502,1.2381378125,78.846,94.6
227,3.220212844588297,1.0737665625,79.232,94.9
228,3.2230559168435593,1.081765,79.072,94.778
229,3.2116336399178613,1.119843125,79.116,94.872
230,3.1969738328914277,1.13427,79.062,94.846
231,3.186193217810014,1.149441875,79.186,94.858
232,3.1866368444608173,1.091898125,79.322,94.808
233,3.169382249684833,1.0968890625,79.264,94.824
234,3.184115351485215,1.0638059375,79.48,94.988
235,3.160075118430227,1.14823,79.496,94.942
236,3.17171811052173,1.272276875,79.29,94.874
237,3.1601911332491013,1.0913509375,79.522,95.16
238,3.15272714336999,1.0485353125,79.704,95.15
239,3.1416184019556432,1.15496125,79.85,95.056
240,3.1396503572364884,1.09863375,79.862,95.002
241,3.1299832517103994,1.202290625,79.78,94.964
242,3.121051133798657,1.1307959375,79.83,95.028
243,3.1245387376164744,1.063015,79.856,95.086
244,3.1124765797437046,1.064606875,79.778,95.178
245,3.12067523998894,1.1820775,79.876,95.1
246,3.1010698491959072,1.12005875,79.974,95.298
247,3.0889670188954885,1.053885,79.986,95.186
248,3.0865309508822616,1.0824496875,80.146,95.296
249,3.076810897921296,1.0611465625,80.178,95.276
250,3.0792776225186844,1.1071296875,80.528,95.404
251,3.066065115989636,1.13727875,80.46,95.276
252,3.071160189968219,1.0172103125,80.596,95.438
253,3.0608666207578827,1.1053671875,80.342,95.3
254,3.051079988979893,1.1068228125,80.66,95.404
255,3.0533405031374605,1.0352615625,80.672,95.362
