epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.754389598691683,6.07017375,2.836,9.434
1,6.458953743739475,5.2824725,8.456,22.324
2,6.176249585372748,4.4808725,16.616,36.996
3,5.891040460287715,3.86405125,25.224,49.156
4,5.627634526823732,3.43569125,31.882,57.676
5,5.394180878937292,2.97146375,39.826,65.654
6,5.1960900537878105,2.77585375,43.594,69.454
7,5.04810554284653,2.501508125,48.246,73.614
8,4.929482341432076,2.411626875,50.432,75.884
9,4.810288408200899,2.22673125,53.142,78.296
10,4.74047719917709,2.18494625,54.536,79.158
11,4.66172146506542,2.1936725,55.468,79.828
12,4.6000035082121835,2.14743,57.328,81.582
13,4.543662726212082,2.000651875,58.57,82.536
14,4.50451204916842,1.901185625,59.85,83.074
15,4.475148166636292,1.897084375,59.936,83.474
16,4.4240577194711665,1.89299625,59.99,83.698
17,4.402432119293655,1.960816875,61.558,84.538
18,4.380253237690762,1.832526875,61.748,84.746
19,4.347876048535943,1.782624375,61.878,84.878
20,4.327136152844539,1.732421875,63.112,85.872
21,4.291904534272057,1.70578875,64.11,86.556
22,4.264274656915551,1.745695,64.38,86.53
23,4.225003681737456,1.790405625,64.816,86.814
24,4.2002830345758335,1.70647,64.95,86.856
25,4.1756304888893,1.64859125,65.738,87.704
26,4.154463175722926,1.69251875,65.33,87.23
27,4.138857799849445,1.579138125,66.068,87.728
28,4.135591443779943,1.6615925,66.126,87.804
29,4.10277115698341,1.579013125,67.018,88.37
30,4.086764417249236,1.591249375,67.398,88.524
31,4.087330788540707,1.679436875,66.68,88.302
32,4.069391607857056,1.58082,67.73,88.702
33,4.058919824189324,1.575121875,67.88,88.91
34,4.046367478408783,1.48989625,68.36,89.078
35,4.0339267186695436,1.591960625,68.25,88.814
36,4.015285334903464,1.530626875,67.912,88.926
37,4.027626845952895,1.652545,67.854,88.796
38,3.9990577991727254,1.55207375,68.792,89.406
39,3.996501073753424,1.52114,68.842,89.46
40,3.993566774969383,1.536414375,68.318,89.184
41,3.980816580027604,1.61143125,68.57,89.342
42,3.9799741984938355,1.5483625,69.004,89.416
43,3.980937380775464,1.574458125,68.694,89.558
44,3.976269866255738,1.5284175,68.564,89.338
45,3.964939887956273,1.594484375,69.262,89.792
46,3.9659555870280276,1.645449375,69.336,89.896
47,3.9432867431430982,1.469636875,69.458,89.702
48,3.942909775401572,1.61322875,69.658,89.742
49,3.949435582883257,1.50413625,69.752,89.952
50,3.932148449807811,1.483724375,69.54,89.852
51,3.9315643970438425,1.56302375,69.376,89.762
52,3.916660045119498,1.54416125,69.662,89.94
53,3.9340853091719437,1.541540625,69.308,89.588
54,3.917420855147852,1.5614025,69.584,89.914
55,3.913575443623068,1.43986875,69.762,89.896
56,3.916171856778417,1.505055,70.256,90.2
57,3.900209015126613,1.55026,69.82,90.072
58,3.9046132430660543,1.51296375,70.144,90.248
59,3.8952382279814577,1.496475625,70.24,90.314
60,3.9053054632995723,1.546490625,69.84,89.914
61,3.8843530428876503,1.4901965625,70.292,90.288
62,3.886125367084186,1.42737125,70.196,90.236
63,3.881409008106549,1.5014475,70.258,90.332
64,3.8820873740479813,1.435273125,70.536,90.386
65,3.877131648772626,1.433603125,70.552,90.386
66,3.8669940817842097,1.522403125,70.232,90.306
67,3.8694181541840047,1.522859375,70.54,90.456
68,3.8675222783732854,1.3579315625,70.92,90.568
69,3.8549959070676807,1.442274375,70.508,90.412
70,3.8678181773181155,1.39097875,70.512,90.646
71,3.8653138490508403,1.397274375,70.94,90.726
72,3.851706174637774,1.507781875,70.298,90.338
73,3.8516403927886897,1.3955775,71.052,90.652
74,3.849611608387469,1.4538171875,70.958,90.872
75,3.8379413900043753,1.447384375,71.084,90.786
76,3.834418105802757,1.50936,70.69,90.608
77,3.8339679630444965,1.45039625,70.262,90.406
78,3.836335356048733,1.4137275,71.06,90.66
79,3.823173596275796,1.4662175,71.542,90.794
80,3.81614175465086,1.40282875,71.384,91.03
81,3.834541027303889,1.426270625,71.192,90.924
82,3.806056231474705,1.48594125,71.476,90.838
83,3.8124247357713803,1.47265,71.32,90.908
84,3.806250314823062,1.388863125,71.47,90.9
85,3.803845868646193,1.379925625,71.732,91.154
86,3.8030896365023157,1.4130975,71.504,90.986
87,3.815668173878789,1.4476725,71.936,91.232
88,3.791633278584118,1.362498125,71.818,91.022
89,3.810543807862188,1.44317,72.318,91.392
90,3.800974236499015,1.387818125,71.864,91.196
91,3.7866738292810727,1.50131875,71.09,90.822
92,3.7910565695316674,1.362595,71.86,91.144
93,3.7902679203225556,1.396570625,72.142,91.306
94,3.779910095828138,1.4152425,71.884,91.27
95,3.7657968458130684,1.48482375,71.958,91.218
96,3.7836416199815264,1.365478125,71.992,91.244
97,3.765829665102452,1.4010953125,71.952,91.342
98,3.7745122723251603,1.43518875,71.924,91.122
99,3.7674091699883805,1.45182625,72.386,91.39
100,3.7593383487465855,1.43288625,72.082,91.364
101,3.763306856584206,1.380526875,72.284,91.436
102,3.7574743154904633,1.49963,72.41,91.476
103,3.744563891733293,1.454756875,72.25,91.452
104,3.7525216841773927,1.397485625,72.364,91.396
105,3.7514830241195685,1.438036875,72.322,91.484
106,3.7529838936601423,1.3016871875,72.598,91.654
107,3.7400245204341593,1.4057725,72.608,91.602
108,3.7351349636995725,1.3334225,72.874,91.792
109,3.742110113969905,1.3877775,72.848,91.768
110,3.7334942426994076,1.4587475,72.506,91.74
111,3.72523541282788,1.4543825,72.426,91.69
112,3.7213603671696736,1.3400625,72.552,91.54
113,3.7268842868953587,1.33827875,73.14,91.806
114,3.719212128151711,1.392276875,72.922,91.756
115,3.7253517606656708,1.420085,72.948,91.816
116,3.710054973951823,1.372536875,73.482,92.032
117,3.703556394310211,1.349879375,73.372,92.024
118,3.699710124688183,1.36472,73.178,92.07
119,3.6999062635153415,1.383735625,73.028,92.086
120,3.702441776685006,1.388238125,72.738,91.826
121,3.703633334758661,1.355655,72.858,91.834
122,3.6812948167657584,1.345585,73.474,92.156
123,3.684750629700631,1.2876628125,73.506,92.0
124,3.6862237322911753,1.33006625,72.976,91.802
125,3.67836818363455,1.37652,73.202,91.884
126,3.681412620271901,1.345575,73.524,91.844
127,3.6740410214038395,1.356728125,73.496,92.072
128,3.66587976400229,1.391480625,73.326,92.14
129,3.669905026944326,1.3605125,73.17,91.97
130,3.6593124616346198,1.301964375,73.764,92.104
131,3.660248639343454,1.35051625,73.872,92.324
132,3.649737890913999,1.309145,73.826,92.098
133,3.6632615854318957,1.345783125,73.738,92.178
134,3.6600435733032834,1.3025784375,74.278,92.33
135,3.6601510661587917,1.3792675,73.644,92.242
136,3.646902483048961,1.3756115625,73.908,92.368
137,3.6376463968119177,1.2837859375,74.016,92.544
138,3.6451064767025643,1.2709946875,74.422,92.586
139,3.6364750747772145,1.2677834375,74.028,92.39
140,3.6223996157268825,1.338700625,73.984,92.412
141,3.631808630139422,1.285295625,74.268,92.25
142,3.617643651821249,1.329045625,74.502,92.52
143,3.6248254695479916,1.283395,74.674,92.612
144,3.6121811778615895,1.296265625,74.526,92.586
145,3.6175026264693813,1.311079375,74.348,92.606
146,3.603005649422189,1.3509209375,74.364,92.462
147,3.5963447302174893,1.2614728125,74.654,92.738
148,3.606497695453638,1.404225625,74.44,92.646
149,3.6000186963904675,1.3693215625,74.418,92.684
150,3.5958531268304297,1.223155,74.6,92.588
151,3.598826781737147,1.2914828125,74.766,92.778
