iteration,train_loss,val_loss,acc,val_acc
1,4.045419796714633,3.460619302368164,0.07916153846153846,0.167
2,3.1809317704260818,2.927432984542847,0.22230769230769232,0.2662
3,2.649175943821434,2.355912121582031,0.33326153846153844,0.4066
4,2.322294569860293,2.2278503242492675,0.406,0.4224
5,2.090555604869925,2.3252320915222167,0.45826153846153844,0.4132
6,1.9241731119906809,1.7891629272460938,0.4992,0.5254
7,1.7943878911846265,1.7391063285827637,0.5289307692307692,0.5356
8,1.6821273097137766,1.6485990819931031,0.5545461538461538,0.5556
9,1.6026395298833922,1.6239487293243409,0.5731923076923077,0.5618
10,1.523035907956559,1.4132598091125488,0.5931538461538461,0.6218
11,1.461126451417217,1.5383555759429932,0.6075461538461538,0.5932
12,1.4113911230146416,1.4418222229003905,0.6205461538461539,0.6126
13,1.366039137788645,1.3212126625061036,0.6306384615384616,0.6444
14,1.3325868035981974,1.3786681930541993,0.6390538461538462,0.6268
15,1.2937967065047091,1.4135087270736695,0.6479,0.6234
16,1.2592637697308082,1.2790030717849732,0.6575692307692308,0.6626
17,1.2397344141142574,1.2366862041473388,0.6607076923076923,0.6618
18,1.2103334161357617,1.2498108087539672,0.6691846153846154,0.6646
19,1.1900234454729426,1.2607846963882445,0.6736,0.6582
20,1.1678558477149235,1.2219998938560486,0.6802923076923076,0.669
21,1.1557079558297405,1.2334386154174806,0.6815538461538462,0.6582
22,1.143698843504031,1.3186299695968628,0.6854153846153846,0.65
23,1.1288485861434712,1.278683984375,0.6889538461538461,0.657
24,1.109706243954775,1.2655094867706298,0.6935,0.6652
25,1.1017351061927052,1.1655721843719482,0.6956692307692308,0.685
26,1.0939387007374464,1.1819846153259277,0.6967461538461538,0.6906
27,1.0821115962398333,1.0992882396697998,0.7020538461538461,0.6978
28,1.0745024736237339,1.1433436859130859,0.7032,0.688
29,1.064185333064222,1.0942636078834533,0.7066923076923077,0.7038
30,1.0538481282671606,1.1640851228713989,0.7071307692307692,0.6898
31,0.777670299150343,0.7770369497299194,0.7821230769230769,0.7812
32,0.7012670686336484,0.7662203570365905,0.8015384615384615,0.7898
33,0.6697459101500943,0.7680874159812927,0.8089692307692308,0.7938
34,0.6469226038068767,0.7422615993499756,0.8151538461538461,0.801
35,0.6308261400425997,0.7389470414161682,0.8192692307692307,0.7932
36,0.6163126716580917,0.7394459810256958,0.8227,0.7954
37,0.604530006529778,0.7366823518753052,0.8260153846153846,0.7956
38,0.5921433041180213,0.7415052316665649,0.829223076923077,0.8064
39,0.579204128336484,0.7496049470901489,0.8331615384615385,0.8006
40,0.5707193249909897,0.7295431201934814,0.8358923076923077,0.8044
41,0.5628709429068359,0.7354497854232788,0.8369076923076924,0.7994
42,0.5510212087959755,0.7375457575321197,0.8406461538461538,0.8012
43,0.5452783710550605,0.765300329208374,0.8416230769230769,0.7976
44,0.5339162100957134,0.7490049079895019,0.8446384615384616,0.7998
45,0.5284177364678834,0.7624103610038757,0.8455307692307692,0.7944
46,0.5226976942182995,0.7637568809509278,0.8484461538461538,0.799
